,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PX450 발렌무디 크림,,,,,,
,,기본단가 적용,20%,20%,30%,50%,80%,,,,기본단가 적용,20%,,20%,,30%,,50%,,80%,,,영림175발렌블랑(PX449),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,YL-1,YL-2,YL-3,YL-4,YL-5,YL-6,인필
브랜드,상품명,매입가,단가,단가,단가,단가,단가,,브랜드,상품명,YL-1,YL-2,차액,YL-3,차액,YL-4,차액,YL-5,차액,YL-6,차액,,기본단가 적용,20%,20%,30%,50%,80%,100%
,■ 천장,,,,,,,,,■ 천장,,,0,,0,,0,,0,,0,,영림135 미스티오크(PW937),영림97 카라멜애쉬(PW922-2),PS066,,,PSM199 소프트매트 화이트,
,마이너스몰딩 25*15,"2,610","3,190","3,850","3,410","3,960","4,730",,,마이너스몰딩 25*15,"3,190","3,850",660,"3,850",660,"4,180",990,"4,840","1,650","5,830","2,640",,영림160 진회색(PS027),영림99 가로결 로얄티크(PW934) ◆,PS072,,,PSM210 소프트매트 밀크화이트,
,천장 1번 80*12,"4,200","5,060","6,160","5,500","6,380","7,590",,,천장 1번 80*12,"5,060","6,160","1,100","6,160","1,100","6,600","1,540","7,590","2,530","9,130","4,070",,영림161 먹회색(PS037),영림100(PW924-1),PS077,,,PMS314 메탈 카키,
,천장 2번 70*12,"3,800","4,620","5,610","4,950","5,720","6,930",,,천장 2번 70*12,"4,620","5,610",990,"5,610",990,"6,050","1,430","6,930","2,310","8,360","3,740",,영림162 검정(PS028),영림101(PW925),PS078,,,PMS326,
,천장 3번 55*12,"3,280","3,960","4,840","4,290","4,950","5,940",,,천장 3번 55*12,"3,960","4,840",880,"4,840",880,"5,170","1,210","5,940","1,980","7,150","3,190",,영림167 우드백색(PS080),영림103(PW927),PS082,,,PMS327,
,3.0 몰딩 ◆,"4,940","5,940","7,150","6,490","7,480","8,910",,,3.0 몰딩,"5,940","7,150","1,210","7,150","1,210","7,810","1,870","8,910","2,970","10,780","4,840",,영림168 도장백색(PS120),영림104(PW927-1),PS083,,,PMS328,
,4.0 몰딩 ◆,"7,360","8,910","10,780","9,570","11,110","13,310",,,4.0 몰딩,"8,910","10,780","1,870","10,780","1,870","11,660","2,750","13,420","4,510","16,060","7,150",,영림169 크림백색(PS130),영림108 어반오크(PW929-1),PS094,,,PMS329,
,2계단 몰딩(소) 50*12,"3,200","3,850","4,620","4,180","4,840","5,830",,,2계단 몰딩(소) 50*12,"3,850","4,620",770,"4,620",770,"5,060","1,210","5,830","1,980","6,930","3,080",,영림194 주백색(PS160),영림109(PW835),PS095,,,PMS330,
,2계단 몰딩(대) 70*18 ◆,"5,290","6,380","7,700","6,930","8,030","9,570",,,2계단 몰딩(대) 70*18,"6,380","7,700","1,320","7,700","1,320","8,360","1,980","9,570","3,190","11,550","5,170",,영림195 회벽백색(PS170),영림124(PW941),PS096,,,PMS331,
,3계단 몰딩(소) 48*15 ◆,"3,540","4,290","5,170","4,620","5,390","6,380",,,3계단 몰딩(소) 48*15,"4,290","5,170",880,"5,170",880,"5,610","1,320","6,490","2,200","7,810","3,520",,영림196 베이지(PS035),영림127 PW946,PS098,,,PMS334 샴페인,
,3계단 몰딩(대) 70*15 ◆,"4,610","5,610","6,820","6,050","6,930","8,360",,,3계단 몰딩(대) 70*15,"5,610","6,820","1,210","6,820","1,210","7,370","1,760","8,470","2,860","10,120","4,510",,PS025,영림128(PW946-1),PS099,,,PMS335 샴페인실버,
,■ 걸레받이,,,,,,,,,■ 걸레받이,,,0,,0,,0,,0,,0,,PS034,영림129(PW948),PS100,,,PMS336 웜그레이,
,301ㅣ라운드 걸레받이 40*9,"2,120","2,640","3,190","2,860","3,190","3,850",,,301ㅣ라운드 걸레받이 40*9,"2,640","3,190",550,"3,190",550,"3,520",880,"3,960","1,320","4,840","2,200",,PS047,영림132(PW845),PS101,,,PMS337 티탄골드,
,401ㅣ라운드 걸레받이 40*9,"2,400","2,970","3,630","3,190","3,630","4,400",,,401ㅣ라운드 걸레받이 40*9,"2,970","3,630",660,"3,630",660,"3,960",990,"4,510","1,540","5,390","2,420",,PS048,영림134(PS071),PS102,,,PME316,
,501ㅣ라운드 걸레받이 50*9 ◆,"2,740","3,300","3,960","3,630","4,180","4,950",,,501ㅣ라운드 걸레받이 50*9,"3,300","3,960",660,"3,960",660,"4,290",990,"4,950","1,650","5,940","2,640",,PS073,영림146(PW951),PS121,,,PME315,
,601ㅣ라운드 걸레받이 60*9,"3,090","3,740","4,510","4,070","4,730","5,610",,,601ㅣ라운드 걸레받이 60*9,"3,740","4,510",770,"4,510",770,"4,950","1,210","5,610","1,870","6,820","3,080",,,영림147(PW951-1),PS122,,,PME317,
,701ㅣ라운드 걸레받이 70*9 ◆,"3,470","4,180","5,060","4,620","5,280","6,270",,,701ㅣ라운드 걸레받이 70*9,"4,180","5,060",880,"5,060",880,"5,500","1,320","6,270","2,090","7,590","3,410",,,영림151(PW955-1),PS123,,,PME338,
,801ㅣ라운드 걸레받이 80*9,"3,590","4,400","5,280","4,730","5,390","6,490",,,801ㅣ라운드 걸레받이 80*9,"4,400","5,280",880,"5,280",880,"5,720","1,320","6,600","2,200","7,920","3,520",,,영림152(PW955-2),PS124,,,PME319,
,901ㅣ라운드 걸레받이 90*9,"3,740","4,510","5,500","4,950","5,610","6,820",,,901ㅣ라운드 걸레받이 90*9,"4,510","5,500",990,"5,500",990,"5,940","1,430","6,820","2,310","8,140","3,630",,,영림154(PW956-1),PS125,,,,
,900ㅣ라운드 걸레받이 90*12 ◆,"5,060","6,160","7,480","6,600","7,590","9,130",,,900ㅣ라운드 걸레받이 90*12,"6,160","7,480","1,320","7,480","1,320","8,030","1,870","9,240","3,080","11,110","4,950",,,영림155(PW957),PS127,,,,
,■ PVC 래핑,,,,,,,,,■ PVC 래핑,,,0,,0,,0,,0,,0,,,영림156(PW1117),PS128,,,,
,PVC 래핑 히든몰딩 9.5 ◆,"2,940","3,630","4,400","3,850","4,510","5,390",,,PVC 래핑 히든몰딩 9.5,"3,630","4,400",770,"4,400",770,"4,730","1,100","5,500","1,870","6,600","2,970",,,영림157(PW1117-1),PS134,,,,
,PVC 래핑 마이너스 25,"3,100","3,740","4,510","4,070","4,730","5,610",,,PVC 래핑 마이너스 25,"3,740","4,510",770,"4,510",770,"4,950","1,210","5,610","1,870","6,820","3,080",,,영림158(PW958),PS136,,,,
,PVC 래핑 2계단(소) 35*15,"3,700","4,510","5,500","4,840","5,610","6,710",,,PVC 래핑 2계단(소) 35*15,"4,510","5,500",990,"5,500",990,"5,940","1,430","6,820","2,310","8,140","3,630",,,영림159(PW958-1),PS137,,,,
,PVC 래핑 2계단(대) 50*15 ◆,"4,300","5,170","6,270","5,610","6,490","7,810",,,PVC 래핑 2계단(대) 50*15,"5,170","6,270","1,100","6,270","1,100","6,820","1,650","7,810","2,640","9,350","4,180",,,영림163(PW959),PS138,,,,
,■ PVC 백색,,,,,,,,,■ PVC 백색,,,,,,,,,,,,,,영림164(PW960),PS139,,,,
,PVC 히든몰딩 9.5,"2,400",,,,,,,,PVC 히든몰딩 9.5,"2,970",,,,,,,,,,,,,영림165(PW960-1),PS141,,,,
,PVC 백색 30평,"1,650",,,,,,,,PVC 백색 30평,"1,980",,,,,,,,,,,,,영림166(PW960-2),PS142,,,,
,PVC 백색 40평,"2,200",,,,,,,,PVC 백색 40평,"2,640",,,,,,,,,,,,,영림171(PW847),PS146,,,,
,PVC 백색 60평,"2,750",,,,,,,,PVC 백색 60평,"3,300",,,,,,,,,,,,,영림172(PW847-1),PS148,,,,
,PVC 백색 80평,"3,850",,,,,,,,PVC 백색 80평,"4,620",,,,,,,,,,,,,영림173(PW961),PS149,,,,
,PVC 백색 100평,"4,400",,,,,,,,PVC 백색 100평,"5,280",,,,,,,,,,,,,영림174(PW961-1),PS150,,,,
,PVC 백색 마이너스 25,"2,410",,,,,,,,PVC 백색 마이너스 25,"2,970",,,,,,,,,,,,,영림175발렌블랑(PX449),PS151,,,,
,PVC 백색 2계단(소) 35*15,"2,350",,,,,,,,PVC 백색 2계단(소) 35*15,"2,860",,,,,,,,,,,,,영림176발렌베이지(PX449-1),PS153,,,,
,PVC 백색 2계단(대) 50*15,"2,880",,,,,,,,PVC 백색 2계단(대) 50*15,"3,520",,,,,,,,,,,,,영림177발렌포그(PX449-2),PS154,,,,
,■ 코너 몰딩(AL),,,,,,,,,■ 코너 몰딩(AL),,,,,,,,,,,,,,영림178발렌디머(PX449-3),PS155,,,,
,A30 인코너,"24,000",,,,,,,,A30 인코너,"28,820",,,,,,,,,,,,,영림179(PW964),PS156 포그그레이지,,,,
,A30 아웃코너,"22,000",,,,,,,,A30 아웃코너,"26,400",,,,,,,,,,,,,영림180(PW964-1),PW836-1,,,,
,A60 아웃코너,"30,000",,,,,,,,A60 아웃코너,"36,080",,,,,,,,,,,,,영림181(PW965),PX444,,,,
,A80 아웃코너,"37,000",,,,,,,,A80 아웃코너,"44,440",,,,,,,,,,,,,영림182(PW965-1),PX445,,,,
,A100 아웃코너,"43,000",,,,,,,,A100 아웃코너,"51,700",,,,,,,,,,,,,영림183(PW966),PX450 발렌무디 크림,,,,
,■ 도장용 페이퍼,,,,,,,,,■ 도장용 페이퍼,,,,,,,,,,,,,,영림184(PW966-1),PX450-1 발렌무디 샌드,,,,
,페이퍼_마이너스 몰딩 25*15,"3,199",,,,,,,,페이퍼_마이너스 몰딩 25*15,"4,180",,,,,,,,,,,,,영림185(PW966-3),PX450-2 발렌무디 애쉬,,,,
,페이퍼_포인트몰딩 MP-01 35*18,"4,300",,,,,,,,페이퍼_포인트몰딩 MP-01 35*18,"5,170",,,,,,,,,,,,,영림186(PW967),PX450-3 발렌무디 다크,,,,
,페이퍼_포인트몰딩 MP-02 35*15,"3,700",,,,,,,,페이퍼_포인트몰딩 MP-02 35*15,"4,510",,,,,,,,,,,,,영림187(PW967-1),PX450-4 발렌무디 화이트,,,,
,페이퍼_포인트몰딩 MP-03 25*15,"3,300",,,,,,,,페이퍼_포인트몰딩 MP-03 25*15,"3,960",,,,,,,,,,,,,영림188(PW967-2),PX451 화이트스톤,,,,
,페이퍼_포인트몰딩 MP-04 18*18,"3,400",,,,,,,,페이퍼_포인트몰딩 MP-04 18*18,"4,180",,,,,,,,,,,,,영림189(PW967-3),PX451-1 라이트스톤,,,,
,페이퍼_포인트몰딩 MP-05 15*9,"2,600",,,,,,,,페이퍼_포인트몰딩 MP-05 15*9,"3,190",,,,,,,,,,,,,영림190(PW968),PX454 선셋스톤,,,,
,페이퍼_포인트몰딩 MP-06 25*15,"3,600",,,,,,,,페이퍼_포인트몰딩 MP-06 25*15,"4,400",,,,,,,,,,,,,영림191(PW968-1),PX454-2 루카 화이트,,,,
,페이퍼_포인트몰딩 MP-07 20*15,"3,400",,,,,,,,페이퍼_포인트몰딩 MP-07 20*15,"4,180",,,,,,,,,,,,,영림192(PW969),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림193(PW969-1),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림203 윌로우(PW970),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림204 (PW970-1),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림205 (PW970-2),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림206 (PW971),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림207 (PW971-1),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림208 (PW971-2),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림209 (PW972),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,영림210 (PW972-1),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,전단가 1단가 10%,,변경단가 +100원,,15,,20,,30,,50,,,,,,,
,,,,0,0.12,0.18,0.24,0.5,,,0.6,0%,,0%,,12%,,18%,,24%,,50%,3500,5000,5500,10000,,,
,,,,,,,,,,,,,,,,1.15,,1.2,,1.3,,1.5,6600,8800,8800,,,,
브랜드,,상품명,,단가,단가,단가,단가,단가,브랜드,,,단가,,단가,,단가,,단가,,단가,,단가,20%,20%,30%,50%,,,
영림,,마이너스몰딩 25*15,,"2,285","2,559","2,696","2,833","3,428",영림,,3656,"2,640",,"2,750",,"3,190",,"3,300",,"3,630",,"4,180",영림06(PW1102),PS014,영림05,영림79 내추럴월넛(PWT1200),,,
영림,,2계단 몰딩 50*12,,"2,798","3,134","3,302","3,470","4,197",영림,,,"3,300",,"3,300",,"3,850",,"3,960",,"4,290",,"4,950",영림07(PW1103),PS015,영림49,영림80 내추럴브라운(PWT1200-1),,,
영림,,3계단 몰딩 48*15,,"3,111","3,484","3,671","3,858","4,667",영림,,,"3,630",,"3,630",,"4,180",,"4,400",,"4,730",,"5,500",영림10(PW1105),PS022,영림56(PW913),영림80 내추럴브라운(PWT1200-1),,,
영림,,평몰딩 30*9,"4,579","1,761","1,972","2,078","2,184","2,642",영림,,2817.6,"2,090",,"2,090",,"2,420",,"2,530",,"2,750",,"3,190",영림12,PS030,영림57(PW913-1),영림82 내추럴베이지(PWT1200-3),,,
영림,,평몰딩 40*9,,"2,021","2,264","2,385","2,506","3,032",영림,,,"2,310",,"2,310",,"2,750",,"2,860",,"3,080",,"3,520",영림13(PW1106),PS032,영림73(PWR1000),영림83 내추럴화이트(PWT1200-4),,,
영림,,평문선몰딩 40*12 ◆,,"2,154","2,412","2,542","2,671","3,231",영림,,,"3,410",,"3,410",,"3,960",,"4,180",,"4,510",,"5,170",영림36라이트티크(PW813),PS035,영림74(PWR1003),영림84 카키그레이(PWT1201),,,
영림,,평몰딩 50*9 ◆,,"2,220","2,486","2,620","2,753","3,330",영림,,,"2,860",,"2,860",,"3,300",,"3,520",,"3,740",,"4,290",영림53-1가로결(PW950) ◆,PS038,영림87(PWR1004),영림85 라이트그레이(PWT1201-1),,,
영림,,평몰딩 60*9,,"2,418","2,708","2,853","2,998","3,627",영림,,,"2,860",,"2,860",,"3,300",,"3,520",,"3,740",,"4,290",영림54(PW1114),PS039,,영림91 소프트라임(PWT1203),,,
영림,,평문선몰딩 60*12 ,,"2,926","3,277","3,453","3,628","4,389",영림,,,"3,410",,"3,410",,"3,960",,"4,180",,"4,510",,"5,170",영림78(PW824-1),PS040,,영림92 소프트핑크(PWT1203-1),,,
영림,,평몰딩 80*9,,"2,958","3,313","3,490","3,668","4,437",영림,,,"3,410",,"3,410",,"3,960",,"4,180",,"4,510",,"5,170",영림88(PW829),PS054,,영림93 리치메이플(PWT1204),,,
영림,,평몰딩 100*9,,"3,525","3,948","4,160","4,371","5,288",영림,,,"4,070",,"4,070",,"4,730",,"4,950",,"5,390",,"6,160",영림89(PW803),PS061,,영림94 리치스칼렛(PWT1204-1),,,
영림,,평몰딩 120*9,,"4,179","4,680","4,931","5,182","6,269",영림,,,"4,840",,"4,840",,"5,610",,"5,830",,"6,380",,"7,260",영림97 카라멜애쉬(PW922-2),PS062,,영림95 리치모카(PWT1204-2),,,
영림,,평몰딩 160*9,,"5,343","5,984","6,305","6,625","8,015",영림,,,"6,160",,"6,160",,"7,150",,"7,480",,"8,030",,"9,240",영림99 가로결 ◆,PS063,,영림125 내추럴크림(PWT1200-5),,,
영림,,평몰딩 200*9,,"6,101","6,833","7,199","7,565","9,152",영림,,,"6,930",,"6,930",,"8,030",,"8,360",,"9,020",,"10,450",영림100(PW924-1),PS064,,영림136(PWS1400),,,
영림,,평몰딩 250*9,,"7,887","8,833","9,307","9,780","11,831",영림,,,"9,020",,"9,020",,"10,450",,"10,890",,"11,770",,"13,530",영림101(PW925),PS065,,영림137(PWS1400-1),,,
영림,,401ㅣ라운드 걸레받이 40*9 ◆,,"2,096","2,348","2,473","2,599","3,144",영림,,,"2,640",,"2,640",,"3,080",,"3,190",,"3,520",,"3,960",영림102,PS066,,영림140(PWT1205),,,
영림,,501ㅣ라운드 걸레받이 50*9 ◆,,"2,393","2,680","2,824","2,967","3,590",영림,,,"2,860",,"2,860",,"3,300",,"3,520",,"3,740",,"4,290",영림103(PW927),PS072 (엠보스),,영림141(PWT1205-1),,,
영림,,601ㅣ라운드 걸레받이 60*9 ◆,,"2,709","3,034","3,197","3,359","4,064",영림,,,"3,190",,"3,190",,"3,740",,"3,850",,"4,180",,"4,840",영림104(PW927-1),PS077 (엠보스),,영림142(PWT1206),,,
영림,,701ㅣ라운드 걸레받이 70*9 ◆,,"3,040","3,405","3,587","3,770","4,560",영림,,,"3,630",,"3,630",,"4,180",,"4,400",,"4,730",,"5,500",영림105가로결(PW931) ◆,PS078 (엠보스),,영림143(PWT1206-1),,,
영림,,801ㅣ라운드 걸레받이 80*9 ◆,,"3,153","3,531","3,721","3,910","4,730",영림,,,"3,740",,"3,740",,"4,400",,"4,510",,"4,950",,"5,610",영림106(PW928-1),PS081 (엠보스),,영림144(PWT1207),,,
영림,,901ㅣ라운드 걸레받이 90*9,,"3,287","3,681","3,879","4,076","4,931",영림,,,"3,850",,"3,850",,"4,510",,"4,620",,"5,060",,"5,830",영림107 글램오크(PW929),PS082 (엠보스),,영림145(PWT1207-1),,,
영림,,900ㅣ라운드 걸레받이 90*12 ◆,,"4,427","4,958","5,224","5,489","6,641",영림,,,"5,280",,"5,280",,"6,160",,"6,380",,"6,930",,"7,920",영림100 가로결(PW934-1) ◆,PS083 (엠보스),,영림170(PWT1206-2),,,
영림,,천정 1번 80*12 ◆,,"3,684","4,126","4,347","4,568","5,526",영림,,,"4,290",,"4,290",,"4,950",,"5,170",,"5,610",,"6,490",영림109(PW835),PS084 (엠보스),,,,,
영림,,천정 2번 70*12 ◆,,"3,339","3,740","3,940","4,140","5,009",영림,,,"3,850",,"3,850",,"4,510",,"4,620",,"5,060",,"5,830",PW836-1,PS090 (엠보스),,,,,
영림,,천정 3번 55*12 ◆,,"2,871","3,216","3,388","3,560","4,307",영림,,,"3,300",,"3,300",,"3,850",,"3,960",,"4,290",,"4,950",영림113(PW840),PS091 (엠보스),,,,,
,,,,,,,,,,,,,,,,,,,,,,,영림114(PW937-1),PS092 (엠보스),,,,,
,,,,,,,,,,,,,,,,,,,,,,,영림117(PW938),PS094 (엠보스),,,,,
,,■ PVC 히든 몰딩,,,,,,,,,,,,,,,,,,,,,영림118(PW938-1),PS095 (엠보스),,,,,
영림,,PVC 히든몰딩9.5,"2,198","2,750",,,,,영림,,,,,,,,,,,,,,영림119(PW939),PS096 (엠보스),,,,,
영림,,PVC 히든몰딩9.5 래핑,"2,964","3,740",,,,,영림,,,,,,,,,,,,,,영림120(PW939-1),PS097 (엠보스),,,,,
,,,,,,,,,,,,,,,,,,,,,,,영림121(PW940),PS098 (엠보스),,,,,
,,,,,,,,,,,,,,,,,,,,,,,영림123(PWR1005),PS099 (엠보스),,,,,
,,■ 라운드 코너 몰딩(AL),,,,,,,,,,,,,,,,,,,,,영림123가로결(PWR1006) ◆,PS121,,,,,
영림,,A30 인코너 ◆,"21,000","24,200","26,400","5,400",,,영림,,,,,,,,,,,,,,영림124(PW941),PS122,,,,,
