,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20%,20%,40%,,,,,25%,,30%,,45%,,,,,,,,,,,,,,,
,,┏베스트┓,"┏베이직,솔리드┓","┏HP,메탈릭┓",┏매트┓,,,,┏베스트┓,"┏베이직,솔리드┓",,"┏메탈릭,HP┓",,┏매트┓,,,,,,,,,,,,,,,
브랜드,상품명,매입가,단가,단가,단가,,브랜드,상품명,공급가,단가,차액,단가,차액,단가,차액,,,베스트,,베이직,,솔리드,,HP,,메탈릭,,매트,
,■ 천장,,,,,,,■ 천장,,,,,,,,,베스트,예림80 HWB1005 화인오크,베이직,예림26 HW1034 베이지오크,솔리드,예림143 HS038 머드그레이,,,,,매트,HSM31 매트 코타화이트,
,마이너스몰딩 25*15,"2,400","2,880","2,880","3,360",,,마이너스몰딩 25*15,"3,080","3,850",770,"4,070",990,"4,510","1,430",,베스트,예림91 HS010 진그레이,베이직,예림36 HWB1042 네추럴브라운,솔리드,예림144 HS028 윈디블루,,,,,매트,HSM34 매트 스카이브리즈,
,천정 1번 80*12,"3,800","4,560","4,560","5,320",,,천정 1번 80*12,"4,840","6,050","1,210","6,380","1,540","7,040","2,200",,베스트,예림107 HS015 올블랙,베이직,예림46 HW1058 티크,솔리드,예림146 HS037 딥오션,,,,,매트,HA911 매트소프트그레이,
,천정 2번 70*12,"3,600","4,320","4,320","5,040",,,천정 2번 70*12,"4,510","5,720","1,210","5,940","1,430","6,600","2,090",,베스트,예림145 HS031 헤일네이비,베이직,예림58 HW1033 그레이오크,솔리드,예림147 HS014 어반그레이,,,,,,,
,천정 3번 55*12,"3,000","3,600","3,600","4,200",,,천정 3번 55*12,"3,850","4,840",990,"5,060","1,210","5,610","1,760",,베스트,예림148 HE403 소프트화이트,베이직,예림66 HW1031 화이트오크,솔리드,예림149 HE404 스킨,,,,,,,
,55라운드천장 55*12,"3,000","3,600","3,600","4,200",,,55라운드천장 55*12,"3,850","4,840",990,"5,060","1,210","5,610","1,760",,베스트,CL 02 HC802 페일그레이,베이직,예림68 HW1056 로열월넛,솔리드,예림150 HE405 민트그레이,,,,,,,
,80라운드천장 80*15,"4,700","5,640","5,640","6,580",,,80라운드천장 80*15,"5,940","7,480","1,540","7,810","1,870","8,690","2,750",,베스트,HN2009 유로 스톤화이트,베이직,예림69 HW1055 로열아카시아,솔리드,예림151 HE406 브라운,,,,,,,
,직각 2계단 몰딩(소) 50*12,"2,800","3,360","3,360","3,920",,,직각 2계단 몰딩(소) 50*12,"3,520","4,400",880,"4,620","1,100","5,170","1,650",,베스트,HS046 페일화이트,베이직,예림81 HWB1030 펄오크,솔리드,HS008 모카그레이,,,,,,,
,직각 2계단 몰딩(대) 70*18,"5,100","6,120","6,120","7,140",,,직각 2계단 몰딩(대) 70*18,"6,380","8,030","1,650","8,360","1,980","9,350","2,970",,베스트,HW1065 브릭월넛,베이직,예림82 HWB1018 쏘마크오크,솔리드,HS017 샌드크래커,,,,,,,
,직각 3계단 몰딩(소) 48*15,"3,200","3,840","3,840","4,480",,,직각 3계단 몰딩(소) 48*15,"4,070","5,170","1,100","5,390","1,320","5,940","1,870",,베스트,HW1069 프리스틴오크,베이직,예림83 HW1028 클래식오크,솔리드,HS018 애프리콧,,,,,,,
,직각 3계단 몰딩(대) 70*15,"4,100","4,920","4,920","5,740",,,직각 3계단 몰딩(대) 70*15,"5,170","6,490","1,320","6,820","1,650","7,590","2,420",,베스트,HW1077 카멜사펠레,베이직,예림84 HWB1013 샤인오크,솔리드,HS023 뮤트핑크,,,,,,,
,■ 걸레받이,,,,,,,■ 걸레받이,,,,,,,,,베스트,WA-05 HWB1007 브룩시더(세로),베이직,예림86 HWB1022 스트라이프우드,솔리드,HS024 드라이로즈,,,,,,,
,라운드 걸레받이 30*9 ,"2,200","2,640","2,640","3,080",,,라운드 걸레받이 30*9 ,"2,750","3,520",770,"3,630",880,"4,070","1,320",,베스트,HLC010 콘크리트화이트,베이직,예림87 HWB1029 퓨어오크,솔리드,HS033 제이드그린,,,,,,,
,라운드 걸레받이 40*9 ,"2,400","2,880","2,880","3,360",,,라운드 걸레받이 40*9 ,"3,080","3,850",770,"4,070",990,"4,510","1,430",,베스트,HPW21 프렌치오크K,베이직,예림88 HWB1012 쉬머오크,솔리드,HS036 모스그린,,,,,,,
